PPO before,AC before,random,PPO after,AC after,baseline
-574.0685815811157,-108.00848841667175,-100.0,3437.4414804577827,2403.501577734947,3027.5663546919823
-300.0,-300.0,-112.0,3204.686652958393,1865.69382250309,1754.3360652923584
-600.0,-112.0,-300.0,-109.15371942520142,2001.1676633954048,-130.17217469215393
-100.0,-326.6987746953964,-126.49700093269348,4361.994227349758,2252.3887503147125,-104.2720155119896
-100.0,-300.0,-600.0,4156.718523859978,1656.362589597702,-109.0
-537.2056213617325,-165.0,-360.0,3470.333504796028,1784.3528745174408,-109.0
-107.83105051517487,-600.0,-100.0,1525.8592268824577,2112.3284924030304,1895.085700392723
77.49525254964828,-165.0,-600.0,3640.8799924254417,1093.9371465444565,2723.9991664886475
-100.0,-139.00848841667175,-315.0,2862.619116783142,-112.27876800298691,1784.1717674136162
-340.0,-300.0,-100.0,4870.5604211091995,2183.4884912371635,2565.142228245735
-100.0,-290.0,-244.0,3573.698632776737,1192.7858375310898,2039.9989140629768
-100.0,-600.0,-100.0,4473.42688947916,-125.46467965841293,-110.30216872692108
-600.0,-253.49700093269348,-135.0,4214.358836114407,-116.71793568134308,2896.9531539678574
-100.0,-314.6607335805893,-300.0,3674.1417919397354,-153.51735657453537,2268.437733590603
-253.49700093269348,-100.0,-200.0,2998.476494848728,2563.628517627716,-136.1969085931778
-100.0,-328.53543198108673,-100.0,4637.09067761898,2412.0450729727745,2343.582358121872
-100.0,-110.62542915344238,-157.0,3982.6836832761765,1786.0942341685295,2687.485284924507
-600.0,-131.0,-171.0,4851.667469799519,-127.81435883045197,2249.097357571125
-146.0,-165.0,-510.0,3336.3388653993607,1641.4156067967415,-109.0
-670.0,-600.0,-237.20562136173248,4396.393999636173,2374.1677572131157,2176.581237733364
-100.0,-300.0,-633.0084884166718,2906.6837601065636,1599.166890323162,2297.6461231708527
-233.81274282932281,-600.0,-157.0,2841.946258723736,2228.403478682041,2563.187311589718
-100.0,-365.0,-123.00848841667175,2853.886575460434,1775.1079556941986,1691.9439601302147
-102.19312256574631,-303.6553717851639,-200.0,4577.651488006115,1648.1873438954353,-102.77635753154755
-232.0,-108.0219207406044,-600.0,2537.959531545639,1875.4935645461082,2566.4942056536674
-237.20562136173248,-140.0,-100.0,2534.686122894287,2181.4748589992523,2083.360738694668
-120.0,-315.0,-600.0,2569.5817079544067,1847.9230222702026,2537.180681884289
-119.0,-100.0,-615.0,1907.8378720283508,1485.5202851891518,2514.6193854808807
-100.0,-100.0,-102.86635494232178,4236.015529513359,1844.8553891181946,-101.26050877571106
-274.5324087738991,-600.0,-290.0,2752.4288981556892,1259.851769387722,2626.745572566986
-600.0,-468.5630922317505,-300.0,-100.10377240180969,1548.335883319378,2220.6747249364853
-300.0,-365.0,-157.0,2224.2002158761024,-104.5574648976326,1567.8332304358482
-134.00848841667175,-100.56309223175049,-300.0,2650.992176055908,1922.0059480667114,1517.7680574655533
-313.4970009326935,-117.64780116081238,-225.0,3788.249717414379,1630.063038110733,1722.0536810159683
-627.0,-383.97540748119354,-600.0,3129.8925389647484,2333.9721192121506,1717.892322421074
-205.06858158111572,-267.1577345132828,-115.0,2613.9896334409714,1833.4123381972313,1935.488775074482
-105.0,-600.0,-537.2056213617325,3455.705840587616,1651.6682758331299,-109.0
-100.0,-100.0,-100.0,-115.32676124572754,1254.5372692346573,1695.0135288834572
-305.0685815811157,-600.0,-300.0,2370.6762746572495,1701.4677249193192,1801.3782655596733
-103.64901602268219,-537.060093164444,-115.0,-117.36627519130707,-383.7144876718521,2483.3330701589584
