PPO before,AC before,VPG before,random,PPO after,AC after,VPG after,baseline
-100.0,-633.0084884166718,-152.50548934936523,-100.0,3771.5030528903008,2216.310573399067,2119.5488788485527,2853.0852920413017
-222.0,-510.0,-600.0,-300.0,4413.065234184265,1800.4043256044388,2061.7297973036766,2279.941946744919
-100.0,-510.0,-447.2056213617325,-510.0,4213.841329932213,2306.9916809797287,1393.2225721478462,2021.7417975664139
-140.0,-600.0,-300.0,-220.76871359348297,3231.7706682682037,1745.4633187651634,910.8303000330925,2626.4014125466347
-300.0,-140.0,-537.2056213617325,-65.6805095076561,-103.42765820026398,2032.3268201351166,2491.7798774838448,3136.077680647373
-558.4970009326935,-340.0,-300.0,-111.07334554195404,3915.4354426264763,1293.6656610369682,1835.830315053463,2831.6039150357246
-100.0,-131.0,-253.49700093269348,-136.07334554195404,3244.3529735803604,2243.404970228672,1986.6174592971802,2644.8371101021767
-327.0,-600.0,-583.2789669036865,-125.20562136173248,3584.0241777300835,1634.6836677789688,2882.9362424612045,2319.586520910263
-100.0,-112.0,-300.0,-665.0,3266.517476975918,1653.7778512835503,2153.5516008734703,2423.5737718343735
-127.85346210002899,-157.0,-314.00848841667175,-100.0,3116.1191971302032,1566.0298421382904,1994.888545036316,1790.8903084993362
-300.0,-126.07334554195404,-600.0,-100.0,4296.019631385803,1164.5581784248352,-129.13212275505066,-125.73955982923508
-72.5716609954834,-620.0,-252.50548934936523,-100.0,4103.049641013145,2191.470177292824,1407.7837157845497,-101.97540748119354
-165.0,-131.0,-614.0084884166718,-300.0,3122.294785261154,2647.113786458969,1769.7952643036842,1059.644168972969
-103.49700093269348,-665.0,-300.0,-100.0,3363.70488935709,1585.8732238411903,2717.516739308834,2660.429619848728
-300.0,-115.0,-600.0,-108.15249013900757,4554.538980126381,1844.360623717308,2397.907223343849,2302.439054608345
-100.0,-573.4970009326935,-340.0,-237.20562136173248,3091.480859398842,1915.5453490018845,1706.0731243491173,2221.804209113121
-105.0,-366.4001067876816,-627.0,-300.0,3463.4103186130524,1279.171128153801,1632.4825350642204,2583.6604567170143
-100.0,-340.0,-300.0,-157.0,2454.4575964212418,2266.410554945469,1707.7283742427826,2341.329094648361
-100.0,-112.0,-665.0,-100.0,2036.8266342282295,1470.4867708086967,2326.345082461834,1916.5418160557747
-100.0,-600.0,-165.62542915344238,-340.0,-122.79552179574966,1179.4175342321396,1451.0945582389832,2521.5582785606384
-114.62542915344238,-152.07334554195404,-600.0,-100.0,2519.626072347164,2379.9005133509636,2081.7764191627502,-102.24709409475327
-17.898231983184814,-105.0,-127.33524966239929,-315.0,3632.147241771221,1971.787894487381,-108.28009164333344,2014.645739853382
-600.0,-510.0,-592.2056213617325,-135.0,2797.5959683060646,-137.74950462579727,2184.099977493286,-109.0
-300.0,-510.0,-300.0,-112.49700093269348,3260.268520772457,1423.3748405575752,1419.8969257473946,-117.7677710056305
-100.0,-600.0,-600.0,-600.0,3812.108759701252,1226.2105357646942,2041.237021803856,1539.548440873623
-100.0,-142.0,-600.0,-290.0,2516.5537029504776,1372.7386874556541,1553.1835306882858,1855.7851831316948
-78.30384755134583,-600.0,-100.0,-100.0,3457.702141702175,-126.6649602651596,1691.4407061338425,2406.9168612957
-300.0,-510.0,-300.0,-108.00848841667175,1750.8885616064072,1242.5310128331184,2470.507436156273,-115.22277098894119
-159.0,-300.0,-237.20562136173248,-277.2056213617325,3345.4719845056534,1485.061331987381,1781.8017837405205,3031.6467198729515
-200.0,-620.0,-600.0,-300.0,4567.525582849979,-160.47594410181046,2461.0724065303802,3346.589373767376
-600.0,-134.0,-600.0,-300.0,2880.4105701446533,1768.6962738633156,1488.3704276680946,2675.379842340946
-521.5054893493652,-510.0,-583.0084884166718,-146.97540748119354,4503.458062410355,1351.6239205598831,2213.4478828310966,1912.797406554222
-100.0,-135.0,-290.0,-140.0,4238.143992841244,1916.5159196257591,2460.8542732596397,2422.8256497979164
-61.23157262802124,-142.0,-253.49700093269348,-100.0,4244.767984867096,1887.495904147625,2063.1664959192276,1495.4648463726044
-100.0,-108.06084036827087,-138.76871359348297,-340.0,4698.570388615131,1852.7622262835503,-102.17569780349731,-110.30216872692108
-100.0,-140.0,-300.0,-112.0,-114.5741930603981,1724.5089761018753,-118.67289394140244,-126.28762513399124
-100.0,-113.50548934936523,-600.0,-142.53238260746002,2131.394620358944,879.5758862495422,1619.1552746891975,1834.8027431368828
-168.20562136173248,-304.0,-600.0,-600.0,-127.25998067855835,1088.9244792461395,703.6724672317505,2723.0299545526505
-105.0,-221.50548934936523,-600.0,-205.0,3689.8264672756195,1076.3705775737762,2249.7791446447372,2863.046191573143
-120.0,-340.0,-646.0,-510.0,2057.4327021837234,1890.2133237719536,1933.890861928463,1606.7723557949066
-100.0,-248.5630922317505,-370.0,-600.0,3818.8799700140953,923.7522384524345,2021.801303088665,2746.4207435250282
-83.05111539363861,-108.00848841667175,-140.0,-300.0,3879.819527745247,1902.7596653103828,1930.374262392521,2145.137565970421
-600.0,-290.0,-340.0,-117.56281757354736,4246.768473863602,-120.03463208675385,1554.5091102719307,2034.4796715378761
-100.0,-105.0,-120.0,-100.0,3573.917117834091,1678.1738724708557,-106.43957436084747,1668.0623279809952
-165.0,-340.0,-600.0,-131.0,3810.5681617856026,1255.9174418449402,1715.3654933571815,257.16408282518387
-100.0,-131.0,-568.2056213617325,-600.0,4621.161486446857,1735.6553906202316,1717.2443393468857,1887.8038066029549
-300.0,-388.50548934936523,-142.0,-131.0,-130.40331262350082,1822.2426922917366,-168.45911210775375,-101.97540748119354
-300.0,-600.0,-648.5630922317505,-140.0,2598.116591513157,1883.8107112646103,1766.0342606306076,2318.5938382148743
-100.0,-600.0,-300.0,-100.0,3620.4550798535347,2218.709496974945,1896.31397408247,2692.6553063988686
38.84228724241257,-600.0,-300.0,-600.0,2649.5172752141953,1511.1937922239304,2506.2343095541,-117.32676124572754
-100.0,-126.07334554195404,-300.0,-300.0,4421.331807434559,1961.781021952629,2203.0196585059166,3165.5315210819244
-600.0,-315.0,-300.0,-300.0,1060.0201511383057,1617.398181259632,1650.443988263607,-119.28422766923904
-100.0,-140.0,-615.0,-300.0,3957.1022896766663,1064.6019592881203,1668.338616013527,2637.8365403413773
-100.0,-360.0,-279.181028842926,-297.6254291534424,2329.273575603962,1998.4835640788078,1659.6860221624374,2591.111153960228
-600.0,-600.0,-300.0,-300.0,2174.293634057045,2429.187131226063,1251.1452150344849,2146.265985786915
-111.07334554195404,-131.0,-600.0,-537.2056213617325,4472.934156537056,1753.715879023075,1924.3001068234444,2237.791406929493
-300.0,-620.0,-140.0,-633.0084884166718,4411.265720665455,2054.1674734950066,1954.0854797363281,2366.3703545928
-133.00848841667175,-125.0,-600.0,-305.0685815811157,3705.280686855316,-104.16844588518143,1729.3567677140236,1471.1756773591042
